Angles  ,,,,,,,
Control T=0,Control T=4 ,Control T=8,Control T=12 ,ES T=0,ES T=4,ES T=8,ES T=12
,,-172.405,-38.66,-45,-8.13,-137.49,52.125
,,-106.928,-75.964,28.301,-57.995,39.806,94.764
,,47.726,150.945,-71.565,70.71,0,10.305
,,130.914,74.476,50.711,10.305,75.964,-104.036
,,-165.964,-9.462,-107.103,24.775,-51.34,-161.565
,,-85.914,-174.289,-11.31,0,-68.199,50.194
,,-122.005,-30.964,-172.405,-110.556,-104.931,-114.444
,,4.399,-141.34,141.843,-90,90,-105.945
,,42.709,107.103,85.236,-5.194,-143.746,111.801
,,-163.301,-85.236,-8.13,26.565,-42.879,-23.962
,,-90,-90,95.194,69.444,-75.964,42.274
,,-106.699,-90,-144.462,-26.565,139.399,-128.66
,,102.529,139.399,-60.255,-73.301,-170.538,57.529
,,119.055,50.194,60.255,6.34,32.471,-153.435
,,168.69,90,0,-36.87,-40.601,-53.13
,,48.366,-140.194,17.241,-18.435,180,90
,,-90,-10.008,174.289,-51.34,135,-85.236
,,-6.34,85.236,59.744,26.565,-90,-90
,,-93.366,42.274,-63.435,-90,25.017,-26.565
,,164.055,-45,61.699,-53.13,-137.49,0
,,62.526,90,4.764,-3.576,70.56,-45
,,147.995,-38.157,71.565,-77.471,135,-86.424
,,180,0,-118.072,60.945,0,-45
,,90,90,131.186,143.13,116.565,74.055
,,123.69,0,36.87,-9.462,-111.038,-48.814
,,63.435,63.435,-2.386,36.87,143.13,-81.254
,,-60.642,26.565,-39.289,76.759,-164.476,42.51
,,86.424,147.995,45,-4.399,60.255,-90
,,9.462,0,-90,-120.256,102.529,-11.31
,,-85.914,-28.61,79.695,-90,-84.289,138.366
,,180,-18.435,-66.371,-53.13,0,-21.801
,,135,108.435,-101.31,39.289,0,-22.62
,,-61.699,90,-77.005,-40.601,0,63.435
,,101.31,81.87,-83.29,-36.87,180,104.036
,,-90,90,-83.29,-85.601,55.008,116.565
,,-26.565,-74.055,-77.471,50.194,73.301,-132.709
,,-2.862,90,94.399,-11.31,90,126.87
,,-167.471,180,-90,-77.471,-116.565,75.964
,,70.56,-53.13,-66.038,48.814,-90,-41.186
,,-90,99.462,8.13,90,80.538,-74.745
,,5.194,-45,-48.013,-22.62,-111.801,-112.62
,,-32.471,90,-78.69,3.814,0,28.61
,,-63.435,59.036,4.764,140.194,-126.254,-137.49
,,-63.435,-99.462,-67.38,97.125,175.601,26.565
,,72.897,-123.69,-105.945,-45,119.055,-118.072
,,-106.699,161.565,-63.435,45,180,143.13
,,-63.435,146.31,80.538,-75.964,0,52.125
,,-53.973,171.87,161.565,128.66,-67.38,171.87
,,-90,53.13,-96.34,30.964,78.111,180
,,98.13,180,-43.452,-77.905,4.764,18.435
,,-90,45,36.87,-60.255,-104.931,-45
,,26.565,90,-90,-91.975,90,73.301
,,39.806,180,158.199,101.889,169.695,12.095
,,180,168.69,-4.399,-30.964,-90,83.29
,,80.538,99.462,-29.055,-75.964,90,-101.31
,,-90,68.962,70.201,90,180,90
,,36.87,124.992,-80.538,90,-135,-32.005
,,90,-173.66,33.69,180,-68.199,-45
,,,180,122.905,-90,-82.875,0
,,,-135,175.601,71.565,21.801,48.366
,,,5.194,133.363,85.236,90,-149.036
,,,-63.435,83.66,8.13,90,-162.897
,,,-53.13,0,-129.806,-11.31,50.711
